Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Worth, Georgia",,51.0,54.0,88.75,129900.0,,,,,,,,,,,,,,,,,919.0,907.0,0.64
12/31/17,"Hawaii, Hawaii",,,,326.0263209,435000.0,3.226326911,10000.0,,1500.0,269.0,20.76,71.69,,,9.960467244,8.517805582,16.58,,,,343600.0,1688.0,1680.0,1.426
12/31/17,"Honolulu, Hawaii",,3233.0,3010.0,569.5855921,635000.0,2.717355536,15000.0,2.458333333,2300.0,534.0,11.0,82.63,,,9.728919556,7.352171638,22.38,1053.0,1109.0,,680300.0,2411.0,2399.0,2.046
12/31/17,"Kauai, Hawaii",,,,534.9462366,725000.0,1.506849315,24900.0,,,,,,,,7.613923214,6.043165468,,,,,,,,
12/31/17,"Maui, Hawaii",,,,623.9728121,720000.0,3.578817734,25000.0,2.684617502,3000.0,483.0,24.01,68.46,,,9.118664202,8.728763913,19.36,,,,628900.0,,,
12/31/17,"Ada, Idaho",,1692.0,1549.0,149.3967041,303900.0,2.439421044,7600.0,0.897559648,1350.0,143.0,,,,,16.09003963,11.6913484,14.17,,,,231500.0,1364.0,1337.0,0.866
12/31/17,"Adams, Idaho",,69.0,59.0,139.1736539,274900.0,,,,,,,,,,,,14.54,,,,210200.0,,,
12/31/17,"Bannock, Idaho",,205.0,165.0,122.7537169,179950.0,3.318489935,8150.0,,750.0,119.0,,,,,12.02173357,9.009009009,11.63,,,,141100.0,1014.0,964.0,0.866
12/31/17,"Bear Lake, Idaho",,,,92.05885578,,,,,,,,,,,,,13.14,,,,182800.0,1167.0,1148.0,0.688
12/31/17,"Benewah, Idaho",,,,,,,,,,114.0,,,,,,,13.19,,,,174300.0,1155.0,1135.0,0.76
12/31/17,"Bingham, Idaho",,124.0,111.0,120.593692,152900.0,2.270408163,4500.0,,,102.0,,,,,14.12680609,9.489051095,10.65,,,,137300.0,1093.0,1059.0,0.794
12/31/17,"Blaine, Idaho",,,,397.8760909,795000.0,5.341606048,20000.0,,,300.0,,,,,5.774898159,3.937007874,14.85,,,,368900.0,,,
12/31/17,"Boise, Idaho",,90.0,72.0,164.9454963,287000.0,,,,,117.0,,,,,,,,,,,,,,
12/31/17,"Bonner, Idaho",,452.0,392.0,204.3969103,389950.0,3.338907469,10000.0,,,156.0,,,,,8.638491618,6.02739726,16.56,,,,243900.0,1289.0,1281.0,0.84
12/31/17,"Bonneville, Idaho",,377.0,329.0,91.08341323,212900.0,2.295454545,5000.0,0.658108095,1025.0,82.0,,,,,14.44757384,10.50583658,11.65,,,,154700.0,1124.0,1115.0,0.606
12/31/17,"Boundary, Idaho",,83.0,69.0,143.4074314,263750.0,,,,,131.0,,,,,,,15.98,,,,230300.0,,,
12/31/17,"Butte, Idaho",,30.0,29.0,,,,,,,,,,,,,,,,,,,,,
