Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Wayne, Pennsylvania",,689,638,92.88368864,166250,6.668890371,9950.5,,,107,12.42,83.62,10.27538605,6.241331484,10.76,160700,,,
12/31/17,"Westmoreland, Pennsylvania",,1701,1665,,139900,5,5000,,775,107,33.52,57.8,14.87495008,9.401709402,11.21,128400,930,923,0.728
12/31/17,"Wyoming, Pennsylvania",,,,,179950,,,,,,,,,,,,1207,1204,0.688
12/31/17,"York, Pennsylvania",,1791,1738,106.9186876,219900,3.313972668,5000,0.785769758,1100,114,24.47,61.66,16.54668797,12.13782302,10.82,167100,1291,1270,0.87
12/31/17,"Bristol, Rhode Island",,215,169,239.072515,429000,4.25849792,10450,1.445998577,2000,210,27.41,60.36,9.855228097,3.603603604,12.65,326800,2233,2180,1.4
12/31/17,"Kent, Rhode Island",,770,706,177.0171796,239900,3.604534087,10000,1.208847737,1492.5,183,6.06,91.62,12.73995777,7.931726908,12.15,231900,1583,1565,1.3
12/31/17,"Newport, Rhode Island",,561,477,288.2832687,493000,4.127906977,15100,1.5625,2300,256,20.95,70.81,8.952729545,4.376012966,15.44,391800,2132,2097,1.46
12/31/17,"Providence, Rhode Island",,1643,1496,171.9237385,229900,3.783783784,10000,1.336477987,1500,174,5.21,91.64,14.2038178,9.357277883,12.29,235400,1590,1526,1.206
12/31/17,"Washington, Rhode Island",,891,741,232.0608049,410000,4.00160064,15000,1.302288871,1650,222,18.4,73.36,10.63390351,5.723204995,17.03,351700,,,
12/31/17,"Abbeville, South Carolina",,72,70,87.35709482,153500,,,,,,,,,,,,,,
12/31/17,"Aiken, South Carolina",,1186,1160,96.66381523,191590,3.573342976,5100,0.749419311,997.5,77,27.27,64.79,10.47128256,7.06921944,9.45,104600,902,900,0.688
12/31/17,"Anderson, South Carolina",,983,914,106.685633,211900,3.721696856,6300,0.765384615,950,82,27.38,62.94,11.29456425,7.666385847,9.95,124900,1001,972,0.686
12/31/17,"Bamberg, South Carolina",,29,32,,,,,,,,,,,,,,,,
12/31/17,"Barnwell, South Carolina",,,,,,,,,,,,,,,,,897,898,0.626
12/31/17,"Beaufort, South Carolina",,2667,2550,187.2871737,379000,2.597402597,9900,1.098901099,,169,31.58,58.79,12.67898015,9.457866824,12.75,292800,1816,1757,1.126
12/31/17,"Berkeley, South Carolina",,1021,968,123.6125676,252731,1.961168857,5000,0.897435897,1495,118,12.4,82.38,13.7892976,9.631019387,11.12,184000,1392,1377,0.912
12/31/17,"Calhoun, South Carolina",,43,44,,184950,,,,,,,,,,,,,,
12/31/17,"Charleston, South Carolina",,2815,2682,209.4279992,442379,2.123730379,9500,1.279633527,1700,189,17.47,74.68,13.67745488,9.737098345,13.76,316200,1861,1827,1.154
12/31/17,"Cherokee, South Carolina",,115,112,,139900,4.00160064,5000,,,56,45.7,46.16,7.634324061,5.921052632,7.66,88100,977,977,0.69
12/31/17,"Chester, South Carolina",,71,70,,95000,,,,,,,,,,,,,,
12/31/17,"Chesterfield, South Carolina",,112,116,72.7543327,141500,,,,,,,,,,,,,,
12/31/17,"Clarendon, South Carolina",,192,190,102.4981252,189900,6.873630039,9700,,,67,53.32,40.09,7.238284397,5.333333333,8.03,94100,1000,1004,0.706
12/31/17,"Colleton, South Carolina",,221,214,126.3796909,,5.666041897,10000,,,78,40.51,52.84,15.61755664,13.22957198,9.09,121600,1131,1134,0.838
12/31/17,"Darlington, South Carolina",,216,203,77.38425926,139000,5.360972123,9106,,,68,49.93,40.56,11.03767793,8.050847458,7.33,81000,,,
12/31/17,"Dillon, South Carolina",,,,,79900,,,,,,,,,,,,,,
12/31/17,"Dorchester, South Carolina",,705,664,121.6119381,256490,1.907443735,5000,0.85947572,1425,113,10.14,84.62,14.89545553,11.34199134,11.22,195000,1444,1433,0.834
12/31/17,"Edgefield, South Carolina",,79,74,88.88888889,,2.065478875,3800,,,76,20.16,76.32,16.35646043,14.73684211,9.11,115700,1091,1086,0.692
12/31/17,"Fairfield, South Carolina",,96,92,,,3.916640093,12700,,,,,,6.866449594,4.237288136,,,,,
